custom_edit_url	learn_path
https://github.com/netdata/netdata/edit/master/docs/configure/start-stop-restart.md	/docs/maintenance-operations-on-netdata-agents/starting-and-stopping-netdata-agents
https://github.com/netdata/netdata/edit/master/docs/configure/nodes.md	/docs/typical-netdata-agent-configurations/configuration
https://github.com/netdata/netdata/edit/master/docs/configure/common-changes.md	/docs/typical-netdata-agent-configurations/common-configuration-changes
https://github.com/netdata/netdata/edit/master/docs/quickstart/infrastructure.md	/docs/netdata-architecture/the-role-of-netdata-cloud
https://github.com/netdata/netdata/edit/master/docs/cloud/netdata-functions.md	/docs/netdata-dashboards-and-visualizations/functions
https://github.com/netdata/netdata/edit/master/docs/cloud/cheatsheet.md	/docs/typical-netdata-agent-configurations
https://github.com/netdata/netdata/edit/master/docs/cloud/war-rooms.md	/docs/monitor-your-infrastructure/war-rooms
https://github.com/netdata/netdata/edit/master/docs/cloud/spaces.md	/docs/monitor-your-infrastructure/spaces
https://github.com/netdata/netdata/edit/master/docs/cloud/runtime-troubleshooting-with-functions.md	/docs/machine-learning-and-assisted-troubleshooting/run-time-troubleshooting-with-functions
https://github.com/netdata/netdata/edit/master/docs/cloud/manage/plans.md	/docs/monitor-your-infrastructure/netdata-plans
https://github.com/netdata/netdata/edit/master/docs/cloud/manage/sign-in.md	/docs/monitor-your-infrastructure/sign-in-with-email-google-or-github
https://github.com/netdata/netdata/edit/master/docs/cloud/manage/invite-your-team.md	/docs/monitor-your-infrastructure/invite-your-team
https://github.com/netdata/netdata/edit/master/docs/cloud/manage/role-based-access.md	/docs/typical-netdata-agent-configurations/securing-netdata-agents/role-based-access-model
https://github.com/netdata/netdata/edit/master/docs/cloud/manage/themes.md	/docs/monitor-your-infrastructure/choose-your-netdata-cloud-theme
https://github.com/netdata/netdata/edit/master/docs/cloud/manage/view-plan-billing.md	/docs/monitor-your-infrastructure/view-plan-&-billing
https://github.com/netdata/netdata/edit/master/docs/cloud/visualize/node-filter.md	/docs/monitor-your-infrastructure/node-filter
https://github.com/netdata/netdata/edit/master/docs/cloud/visualize/interact-new-charts.md	/docs/netdata-dashboards-and-visualizations/netdata-charts
https://github.com/netdata/netdata/edit/master/docs/cloud/visualize/nodes.md	/docs/netdata-dashboards-and-visualizations/nodes-view
https://github.com/netdata/netdata/edit/master/docs/cloud/visualize/kubernetes.md	/docs/netdata-dashboards-and-visualizations/kubernetes-visualizations
https://github.com/netdata/netdata/edit/master/docs/cloud/visualize/overview.md	/docs/monitor-your-infrastructure/home-overview-and-single-node-view
https://github.com/netdata/netdata/edit/master/docs/cloud/visualize/dashboards.md	/docs/netdata-dashboards-and-visualizations/custom-dashboards
https://github.com/netdata/netdata/edit/master/docs/cloud/insights/events-feed.md	/docs/netdata-dashboards-and-visualizations/events-feed
https://github.com/netdata/netdata/edit/master/docs/cloud/insights/metric-correlations.md	/docs/machine-learning-and-assisted-troubleshooting/metric-correlations
https://github.com/netdata/netdata/edit/master/docs/cloud/insights/anomaly-advisor.md	/docs/machine-learning-and-assisted-troubleshooting/anomaly-advisor
https://github.com/netdata/netdata/edit/master/docs/cloud/alerts-notifications/manage-alert-notification-silencing-rules.md	/docs/alerts-and-notifications/notifications/netdata-cloud-notifications/manage-alert-notification-silencing-rules
https://github.com/netdata/netdata/edit/master/docs/cloud/alerts-notifications/add-discord-notification.md	/docs/alerts-and-notifications/notifications/netdata-cloud-notifications/add-discord-notification-configuration
https://github.com/netdata/netdata/edit/master/docs/cloud/alerts-notifications/add-pagerduty-notification-configuration.md	/docs/alerts-and-notifications/notifications/netdata-cloud-notifications/add-pagerduty-notification-configuration
https://github.com/netdata/netdata/edit/master/docs/cloud/alerts-notifications/add-webhook-notification-configuration.md	/docs/alerts-and-notifications/notifications/netdata-cloud-notifications/add-webhook-notification-configuration
https://github.com/netdata/netdata/edit/master/docs/cloud/alerts-notifications/add-mattermost-notification-configuration.md	/docs/alerts-and-notifications/notifications/netdata-cloud-notifications/add-mattermost-notification-configuration
https://github.com/netdata/netdata/edit/master/docs/cloud/alerts-notifications/manage-notification-methods.md	/docs/alerts-and-notifications/notifications/netdata-cloud-notifications/manage-notification-methods
https://github.com/netdata/netdata/edit/master/docs/cloud/alerts-notifications/add-opsgenie-notification-configuration.md	/docs/alerts-and-notifications/notifications/netdata-cloud-notifications/add-opsgenie-notification-configuration
https://github.com/netdata/netdata/edit/master/docs/cloud/alerts-notifications/notifications.md	/docs/alerts-and-notifications/notifications/netdata-cloud-notifications
https://github.com/netdata/netdata/edit/master/docs/cloud/alerts-notifications/add-slack-notification-configuration.md	/docs/alerts-and-notifications/notifications/netdata-cloud-notifications/add-slack-notification-configuration
https://github.com/netdata/netdata/edit/master/docs/contributing/style-guide.md	/docs/contributing-to-netdata/contribute-to-the-documentation/netdata-style-guide
https://github.com/netdata/netdata/edit/master/docs/dashboard/customize.md	/docs/miscellaneous/customize-the-standard-dashboard
https://github.com/netdata/netdata/edit/master/docs/dashboard/dimensions-contexts-families.md	/docs/data-collection/chart-dimensions-contexts-and-families
https://github.com/netdata/netdata/edit/master/docs/dashboard/visualization-date-and-time-controls.md	/docs/monitor-your-infrastructure/visualization-date-and-time-controls
https://github.com/netdata/netdata/edit/master/docs/dashboard/import-export-print-snapshot.md	/docs/miscellaneous/import-export-and-print-a-snapshot
https://github.com/netdata/netdata/edit/master/docs/monitor/enable-notifications.md	/docs/alerts-and-notifications/notifications
https://github.com/netdata/netdata/edit/master/docs/monitor/view-active-alarms.md	/docs/monitor-your-infrastructure/view-active-alerts
https://github.com/netdata/netdata/edit/master/docs/collect/container-metrics.md	/docs/data-collection/container-metrics
https://github.com/netdata/netdata/edit/master/docs/collect/application-metrics.md	/docs/data-collection/application-metrics
https://github.com/netdata/netdata/edit/master/docs/collect/system-metrics.md	/docs/data-collection/system-metrics
https://github.com/netdata/netdata/edit/master/docs/export/external-databases.md	/docs/exporting-data-to-other-systems
https://github.com/netdata/netdata/edit/master/docs/export/enable-connector.md	/docs/exporting-data-to-other-systems/enable-an-exporting-connector
https://github.com/netdata/netdata/edit/master/docs/getting-started/introduction.md	/docs/netdata-architecture
https://github.com/netdata/netdata/edit/master/docs/category-overview-pages/misc-overview.md	/docs/miscellaneous
https://github.com/netdata/netdata/edit/master/docs/category-overview-pages/optimizing-metrics-database.md	/docs/typical-netdata-agent-configurations/optimizing-metrics-database
https://github.com/netdata/netdata/edit/master/docs/category-overview-pages/maintenance-operations-on-netdata-agents.md	/docs/maintenance-operations-on-netdata-agents
https://github.com/netdata/netdata/edit/master/docs/category-overview-pages/machine-learning-and-assisted-troubleshooting.md	/docs/machine-learning-and-assisted-troubleshooting
https://github.com/netdata/netdata/edit/master/docs/category-overview-pages/build-the-netdata-agent-yourself.md	/docs/install-the-netdata-agent/build-the-netdata-agent-yourself
https://github.com/netdata/netdata/edit/master/docs/category-overview-pages/netdata-dashboards-and-visualizations.md	/docs/netdata-dashboards-and-visualizations
https://github.com/netdata/netdata/edit/master/docs/category-overview-pages/metrics-streaming-and-replication.md	/docs/metrics-streaming-and-replication
https://github.com/netdata/netdata/edit/master/docs/category-overview-pages/accessing-netdata-dashboards.md	/docs/netdata-dashboards-and-visualizations/accessing-netdata-dashboards
